#JD       Mag   Obs  Type
40034.6   8.4   DK   Vis.
40044.6   8.8   DK   Vis.
40049.6   8.4   DK   Vis.
40056.6   8   DK   Vis.
40058.8   8.5   MOR   Vis.
40066.8   8.5   BRJ   Vis.
40066.9   7.7   AC   Vis.
40071.9   7.2   MLM   Vis.
40072.9   7.9   RB   Vis.
40074.8   7.8   RB   Vis.
40074.9   7.3   PO   Vis.
40077.6   7   DK   Vis.
40080.9   7.2   BRJ   Vis.
40085.6   5.8   DK   Vis.
40085.7   6.1   HE   Vis.
40087.8   6.2   CR   Vis.
40087.9   5.3   RB   Vis.
40088.8   6.1   AC   Vis.
40089.8   4.9   RB   Vis.
40090.6   5.4   KOJ   Vis.
40090.8   4.7   PO   Vis.
40090.8   5.6   HE   Vis.
40090.9   4.9   RB   Vis.
40090.9   5   AD   Vis.
40091.6   5.3   KOJ   Vis.
40092.8   5.1   SWR   Vis.
40092.8   5.1   HR   Vis.
40093.7   5.2   HE   Vis.
40093.9   5   AD   Vis.
40094.2   5.2   FRW   Vis.
40094.6   5.1   DK   Vis.
40094.8   4.4   RB   Vis.
40096.7   4.3   MOR   Vis.
40098.6   4.6   BRJ   Vis.
40098.9   4   MJR   Vis.
40099.649   4   ILS   Vis.
40100.5   4.3   KOJ   Vis.
40100.8   4.3   SWR   Vis.
40100.8   4.2   RB   Vis.
40101.8   4.3   HE   Vis.
40102.8   4.2   SWR   Vis.
40103.9   4.9   SWR   Vis.
40104.8   4.3   SWR   Vis.
40106.7   4.3   NBY   Vis.
40106.8   3.7   PO   Vis.
40107.7   4.2   HE   Vis.
40111.7   4.3   NBY   Vis.
40111.7   4.1   HE   Vis.
40112.5   4.6   DK   Vis.
40112.7   4   HE   Vis.
40113.7   4   HE   Vis.
40114.6   3.9   HE   Vis.
40114.7   4   OV   Vis.
40115.7   3.8   MOR   Vis.
40116.2   4.1   FRW   Vis.
40116.5   4.4   DK   Vis.
40117.485   3.8   ILS   Vis.
40117.7   4.2   JT   Vis.
40117.8   4.2   GLG   Vis.
40118.7   4   FT   Vis.
40118.9   4   RB   Vis.
40119.8   4.5   AC   Vis.
40119.9   4   RB   Vis.
40120.5   4.3   DK   Vis.
40120.7   3.9   RB   Vis.
40120.7   3.9   COK   Vis.
40120.8   3.8   PO   Vis.
40121.5   3.8   DKF   Vis.
40121.7   4.4   KOJ   Vis.
